timestamp,event_type,x,y,key,event
1741801249.1851559,mouse,782,776,,
1741801249.2854226,mouse,782,776,,
1741801249.3857186,mouse,782,776,,
1741801249.4863124,mouse,782,776,,
1741801249.5868633,mouse,782,776,,
1741801249.6872804,mouse,782,776,,
1741801249.7876265,mouse,782,776,,
1741801249.8879437,mouse,782,776,,
1741801249.9881167,mouse,810,786,,
1741801250.0884194,mouse,950,810,,
1741801250.1888983,mouse,1026,816,,
1741801250.2890298,mouse,1033,817,,
1741801250.3891919,mouse,1033,817,,
1741801250.489748,mouse,1033,820,,
1741801250.5899081,mouse,1034,837,,
1741801250.6901746,mouse,1034,838,,
1741801250.7907517,mouse,1034,838,,
1741801250.8912609,mouse,1034,838,,
1741801250.99186,mouse,1034,838,,
1741801251.092498,mouse,1034,838,,
1741801251.1930752,mouse,1034,838,,
1741801251.2932065,mouse,1006,803,,
1741801251.393809,mouse,820,636,,
1741801251.4939153,mouse,696,566,,
1741801251.5944963,mouse,696,566,,
1741801251.694696,mouse,696,566,,
1741801251.7948725,mouse,696,566,,
1741801251.895052,mouse,696,566,,
1741801251.9955356,mouse,696,566,,
1741801252.0957978,mouse,696,566,,
1741801252.1968262,mouse,696,566,,
1741801252.2974386,mouse,696,566,,
1741801252.3978827,mouse,696,566,,
1741801252.498501,mouse,696,566,,
1741801252.59891,mouse,696,566,,
1741801252.6996875,mouse,696,566,,
1741801252.800071,mouse,696,566,,
1741801252.9003532,mouse,696,566,,
1741801253.0009205,mouse,696,566,,
1741801253.101697,mouse,696,566,,
1741801253.202004,mouse,696,566,,
1741801253.3021667,mouse,696,566,,
1741801253.4026158,mouse,550,534,,
1741801253.503171,mouse,501,524,,
1741801253.603334,mouse,501,524,,
1741801253.703633,mouse,501,524,,
1741801253.8041763,mouse,501,524,,
1741801253.9047978,mouse,501,524,,
1741801254.0053186,mouse,501,524,,
1741801254.1055934,mouse,501,524,,
1741801254.2057598,mouse,501,524,,
1741801254.3065362,mouse,501,524,,
1741801254.406737,mouse,501,524,,
1741801254.5071733,mouse,501,524,,
1741801254.6078417,mouse,501,524,,
1741801254.7083032,mouse,501,524,,
1741801254.8088896,mouse,427,542,,
